tax_name	tax_rank	taxa_full_id
Abiotrophia defectiva	species	46125
Acanthopleuribacter pedis	species	442870
Acaryochloris sp. CCMEE 5410	species	310037
Acaryochloris sp. HICR111A	species	576912
Acetatifactor muris	species	879566
Acetivibrio cellulolyticus	species	35830
Acetoanaerobium noterae	species	745369
Acetoanaerobium sp. WJDL-Y2	species	1382918
Acetobacter aceti	species	435
Acetobacter cerevisiae	species	178900
Acetobacter cibinongensis	species	146475
Acetobacter fabarum	species	483199
Acetobacter indonesiensis	species	104101
Acetobacter orientalis	species	146474
Acetobacter pasteurianus	species	438
Acetobacter pomorum	species	65959
Acetobacter sp. 3-C-3	species	665040
Acetobacter sp. Ac6274	species	1367703
Acetobacter sp. CCTCC M 209061	species	639041
Acetobacter syzygii	species	146476
Acetobacter tropicalis	species	104102
Acetobacterium bakii	species	52689
Acetobacterium psammolithicum	species	93718
Acetobacterium sp. GM8	species	588793
Acetobacterium sp. Mic7c05	species	717654
Acetomicrobium hydrogeniformans	species	649746
Acholeplasma morum	species	264637
Acholeplasma parvum	species	264639
Acholeplasma sp. KDA-feline	species	1130045
Achromobacter insolitus	species	217204
Achromobacter marplatensis	species	470868
Achromobacter sp. LC053	species	1114421
Achromobacter sp. S2(2010)	species	905047
Achromobacter xylosoxidans	species	85698
Acidaminococcus fermentans	species	905
Acidaminococcus intestini	species	187327
Acidaminococcus sp. BV3L6	species	1111120
Acidaminococcus sp. D21	species	563191
Acidaminococcus sp. DJF_RP55	species	537272
Acidaminococcus sp. HPA0509	species	1203555
Acidicapsa borealis	species	946336
Acidicapsa sp. CE1	species	1078845
Acidiphilium sp.	species	527
Acidipropionibacterium acidipropionici	species	1748
Acidipropionibacterium damnosum	species	1243001
Acidipropionibacterium jensenii	species	1749
Acidipropionibacterium thoenii	species	1751
Acidisoma sibiricum	species	512383
Acidisoma sp. C4	species	1277345
Acidisoma tundrae	species	512382
Acidisphaera sp. MS-Y2	species	1082708
Acidisphaera sp. nju-AMD2	species	672097
Acidisphaera sp. nju-AMDS1	species	672098
Aciditerrimonas ferrireducens	species	667306
Acidobacterium ailaaui	species	1382359
Acidobacterium capsulatum	species	33075
Acidobacterium sp. MS-P6	species	1082710
Acidocella sp.	species	50710
Acidocella sp. DM2	species	376448
Acidocella sp. DM4	species	376450
Acidocella sp. nju-AMD9	species	672101
Acidovorax avenae	species	80867
Acidovorax caeni	species	343013
Acidovorax citrulli	species	80869
Acidovorax defluvii	species	86669
Acidovorax delafieldii	species	47920
Acidovorax facilis	species	12917
Acidovorax oryzae	species	862720
Acidovorax radicis	species	758826
Acidovorax sp. 38a	species	1469329
Acidovorax sp. 3Re21	species	419647
Acidovorax sp. acv1	species	505375
Acidovorax sp. bk_57	species	933405
Acidovorax sp. DPS2	species	946524
Acidovorax sp. HME8518	species	1281482
Acidovorax sp. JHL-10	species	1325430
Acidovorax sp. JHL-9	species	1276756
Acidovorax sp. LR05	species	483916
Acidovorax sp. R-25052	species	343042
Acidovorax sp. R1W3-5	species	1194032
Acidovorax sp. S7	species	713619
Acidovorax sp. SOZ1-6131	species	1200399
Acidovorax sp. TS7	species	477185
Acidovorax sp. UAC-80	species	1308018
Acidovorax sp. UFS	species	580316
Acidovorax temperans	species	80878
Acidovorax valerianellae	species	187868
Acidovorax wohlfahrtii	species	121873
Acinetobacter baumannii	species	470
Acinetobacter bereziniae	species	106648
Acinetobacter calcoaceticus	species	471
Acinetobacter genomosp. 16BJ	species	70347
Acinetobacter guillouiae	species	106649
Acinetobacter haemolyticus	species	29430
Acinetobacter johnsonii	species	40214
Acinetobacter junii	species	40215
Acinetobacter kyonggiensis	species	595670
